alpha,frob_norm,ce_opt,q_opt,ce_fixed,q_fixed,attn_fixed,ce_adaptive,q_adaptive,attn_adaptive,ce_norm_q1,attn_norm_q1,grad_norm_W0
0.004999999999999999,0.01676279747865328,7.816690318932723e-06,1,9.443123667507835e-07,1,0.12080718670196956,7.816679624820401e-06,1,0.9999986318874248,2.7476733333173075e-06,0.3515136485146657,6.808574281988029e-06
0.006993313851964011,0.02344550076102668,1.5291234894151818e-05,1,1.8482310155316198e-06,1,0.12086865634628906,1.52912302020199e-05,1,0.9999996931489217,5.375121156712748e-06,0.35151648600784235,1.331925273651505e-05
0.009781287726414333,0.03279234904766409,2.9912734451351693e-05,1,3.6191093341204455e-06,1,0.12098891661029357,2.9912729315654863e-05,1,0.9999998283106869,1.051498533641331e-05,0.3515220366601476,2.605561283986103e-05
0.013680722989435786,0.04586543776669364,5.851372473738294e-05,1,7.0932803036884715e-06,1,0.12122421424245368,5.851371814753126e-05,1,0.9999998873793848,2.0569499018758172e-05,0.3515328943948912,5.097043368709832e-05
0.019134717917380736,0.06415028025204232,0.00011445533599960726,1,1.39274587145641e-05,1,0.1216846605964434,0.00011445532187701814,1,0.9999998766104786,4.0237246293320904e-05,0.35155413194068097,9.970725628847685e-05
0.026763017573008533,0.08972460869879617,0.00022385599185477427,1,2.7441601711568277e-05,1,0.12258596021575742,0.00022385597725311794,1,0.9999999347720996,7.870679669578137e-05,0.35159566667682546,0.00019503761650096146
0.03743243630273535,0.12549446977506834,0.00043773594695581603,1,5.4432998944320366e-05,1,0.12435121977728436,0.00043773591944906536,1,0.9999999371613164,0.0001539416102536033,0.3516768758064591,0.0003814846737647083
0.05235535506173591,0.1755244427645728,0.0008556210153995639,1,0.00010935898825115435,1,0.12781241493944037,0.0008556209782108109,1,0.999999956535952,0.0003010379123627448,0.35183557549970185,0.0007460560683179724
0.07322748595554633,0.24549950338875012,0.0016711314707929506,1,0.0002249559240842221,1,0.13461294219866538,0.0016711313968355065,1,0.99999995574409,0.0005884812574662695,0.3521453983432169,0.0014586129214113968
0.1024205583754844,0.34337101553976623,0.0032589503644882343,1,0.0004824042653743554,1,0.14802442854943856,0.0032589502808815177,1,0.9999999743455078,0.0011495917288373509,0.35274907570366626,0.0028501184342564247
0.14325182192263267,0.48026025586743915,0.0063366803024673575,1,0.0011065951102432535,1,0.17463325549379077,0.006336680162402762,1,0.9999999778962188,0.0022426834246993036,0.3539208730202239,0.005562964278735107
0.2003609901141257,0.6717221399811083,0.012251263277212515,1,0.0027906433585414324,1,0.22778413094199518,0.0122512630285895,1,0.9999999797063365,0.00436364124534006,0.3561788810347812,0.010834686742184345
0.2802374575116679,0.9395127492401587,0.023433790054558007,1,0.00780918783147381,1,0.3332447637916291,0.023433789767201493,1,0.9999999877375144,0.008447171282634572,0.3604697005037624,0.02101447667933157
0.3919576986911045,1.3140615046715978,0.04395124338632818,1,0.02308327942830237,1,0.5252019658557109,0.043951242996385594,1,0.9999999911278372,0.016192248304527777,0.36841388449921914,0.04043439305927276
0.5482166407280872,1.8379289045905105,0.07966977741750278,1,0.06149826196758448,1,0.7719145698789643,0.07966977670883438,1,0.9999999911049281,0.030469825050417218,0.38245148961246195,0.07663722070098773
0.7667702054961812,2.5706427334795694,0.13680715876172064,1,0.12674599282158355,1,0.9264573138481679,0.1368071578478387,1,0.9999999933199261,0.05546059685520863,0.40539250545949346,0.141314642175014
1.072452939873947,3.59546228729866,0.2178308458833967,1,0.2123937770526412,1,0.9750399498808083,0.21783084484776646,1,0.9999999952457135,0.0955676232039718,0.4387240145738059,0.2485337954184429
1.5,5.028839243595985,0.31704317914196656,1,0.31329762974205777,1,0.9881859959578831,0.31704317803421733,1,0.9999999965059989,0.15226924027493804,0.48027918685093196,0.40599872877587706
